Timestamp (ART),Red,Tipo de mensaje,Recibido de (nombre de la red),Message
2026-03-10 15:56:49,LinkedIn,Company Mention Post,camichiaradiaok,"Trabajo realizado: Clon de la App Slack.
Curso Backend, Centro de e-Learning UTN FRBA 👏 "
2026-03-10 14:44:00,LinkedIn,Company Mention Post,griselda-martínez96,"Ayer comenzó una nueva etapa en mi camino profesional: empecé a cursar la Licenciatura en Administración de Empresas en Universidad Tecnológica Nacional Centro de e-Learning UTN FRBA. 📚

Iniciar un nuevo proceso de formación implica asumir desafíos, sostener la disciplina y comprometerse con objetivos a largo plazo. También es una oportunidad para incorporar nuevas herramientas, ampliar la mirada y seguir creciendo tanto en lo profesional como en lo personal.

Con entusiasmo por todo lo que viene en esta nueva etapa de formación y desarrollo. ✨💪🏼📖


#FormaciónContinua #DesarrolloProfesional #Administración "
2026-03-10 13:44:08,LinkedIn,Company Mention Post,mujeres-en-crypto,"Nada de lo que va a pasar el 14 de marzo sucede por casualidad.

Detrás de este encuentro hay organizaciones que creyeron en la iniciativa incluso antes de que tomara forma.
Que dijeron sí cuando todavía era una idea.
Que acercaron su comunidad, su tiempo y su apoyo para hacerlo posible.

Desde Mujeres en Crypto nos enorgullece seguir construyendo así: en comunidad.

Porque los cambios reales se generan cuando distintas personas y organizaciones deciden empujar en la misma dirección.

Gracias a quienes se suman para hacerlo realidad. 🔮✨
Co-organizan:
Fundación Regional Buenos Aires Tecnológica (Centro de e-Learning UTN FRBA) – Unidad de Género y Diversidad UTN Buenos Aires @utn

Sponsor principal: MetaMask

Organizaciones que acompañan esta iniciativa:
Cripto La Plata • Club de Oratoria • Women in Robotics Argentina • WOMEN IN TECH ® Global LATAM • Cripto LATAM Al Día (Podcast) • Chicas en Tecnología • Media Chicas • Hablemos Serio (Podcast) • Reclutando Latinoamérica• TechnoLatinas • Mujeres en Derecho • Cryptogirls • MUJERES EN BITCOIN • Fundación Iberoamericana para la Soberanía Económica (FILSE) • Universidad Nacional de La Plata • FinLaw Association  • Dev3pack • IncubadoraUNCuyo • Crecimiento • Órbita Comms • Lebensohn • Data Género

Seguimos creando espacios para conversar sobre tecnología, finanzas y autonomía.

Nos vemos el 14 de marzo en la UTN. 

Link de inscripción: https://luma.com/9oyszuum"
2026-03-10 13:23:05,LinkedIn,Company Mention Post,flor-ricciardulli-7a1850148,¡Me alegra contarles que empeze mis estudios de Tecnicatura Universitaria en Logística en Centro de e-Learning UTN FRBA!
2026-03-10 12:22:29,LinkedIn,Company Mention Post,daianapaez,¡Me alegra contaros que he empezado mis estudios de Tecnicatura en Centro de e-Learning UTN FRBA!
2026-03-10 12:13:21,LinkedIn,Company Mention Post,sofiaverea,"Muy feliz de compartir que finalicé la Tecnicatura Universitaria en Administración en Centro de e-Learning UTN FRBA. 
Fueron años de mucho esfuerzo, aprendizaje y crecimiento. Este logro representa una meta muy importante para mí y marca el cierre de una etapa que me dejó muchísimo.
Gracias a todas las personas que me acompañaron en este camino.
¡Ahora a seguir creciendo y afrontando nuevos desafíos! 😁 
#UTN #Administración #Educación #CrecimientoProfesional #LogrosPersonales "
2026-03-10 12:07:19,LinkedIn,Company Mention Post,camila-solon-414177236,"¡Muy feliz de contarles que hoy comienzo un nuevo desafío: la Tecnicatura en Administración en el Centro de e-Learning UTN FRBA! 

Me entusiasma la posibilidad de cursar bajo la modalidad virtual, lo que me permite seguir capacitándome y sumar nuevas herramientas para mi desarrollo profesional.


#UTN #Administración #Elearning #Gestión"
2026-03-10 11:35:11,LinkedIn,Company Mention Post,federico-laspada-00a5509,"Primeros pasos en eso de ""salir de las estructuras"" e intentar adentrarse en ambientes por demás desafiantes. 
 Centro de e-Learning UTN FRBA "
2026-03-10 10:08:35,LinkedIn,Company Mention Post,cynthia-pedrol-266873315,¡Me alegra contaros que he empezado mis estudios de Licenciatura en Centro de e-Learning UTN FRBA!
2026-03-10 10:06:53,LinkedIn,Company Mention Post,cynthia-pedrol-266873315,¡Me alegra contaros que he empezado mis estudios de Licenciatura en Administración en Centro de e-Learning UTN FRBA!
